Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-05-01,2.0,2023,chicken curry,1.0,1690,"['chicken', 'curri']",1690.0,75
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,000005, poki,1.0,40,['poki'],40.0,50
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,2063,elvis kombó,1.0,1195,"['elvi', 'kombó']",1195.0,19
2020-05-01,2.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-05-01,2.0,2016,lítil spicy chicken,1.0,1050,"['lítil', 'spici', 'chicken']",1050.0,76
2020-05-01,2.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,2.0,2070,mozzarella,1.0,220,['mozzarella'],220.0,6
2020-05-01,2.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-05-01,2.0,1013,good times lítil,1.0,990,"['good', 'time', 'lítil']",990.0,25
2020-05-01,21.0,1013,good times lítil,1.0,990,"['good', 'time', 'lítil']",990.0,25
2020-05-01,21.0,6103,mr blonde lítil,1.0,990,"['mr', 'blond', 'lítil']",990.0,60
2020-05-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-05-01,2.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-05-01,2.0,6010,lítil mozzato,1.0,895,"['lítil', 'mozzato']",895.0,58
2020-05-01,2.0,2046,lítil vanilla flirt,1.0,895,"['lítil', 'vanilla', 'flirt']",895.0,90
2020-05-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-05-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,21.0,6104,mr  blonde t combó,1.0,1195,"['mr', 'blond', 't', 'combó']",1195.0,59
2020-05-01,21.0,2019,lítil pescado,1.0,1050,"['lítil', 'pescado']",1050.0,68
2020-05-01,2.0,2028,jj ,1.0,595,['jj'],595.0,40
2020-05-01,2.0,2028,jj ,1.0,595,['jj'],595.0,40
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-05-01,21.0,6029,spicy chicken,1.0,598,"['spici', 'chicken']",598.0,75
2020-05-01,21.0,6032,nice guy,1.0,598,"['nice', 'guy']",598.0,63
2020-05-01,21.0,6094,spicy vegan combó,1.0,598,"['spici', 'vegan', 'combó']",598.0,79
2020-05-01,21.0,6055,icelandic flurt ,1.0,598,"['iceland', 'flurt']",598.0,36
2020-05-01,21.0,2008,spicy chicken,1.0,845,"['spici', 'chicken']",845.0,75
2020-05-01,21.0,2004,spicy vegan,1.0,845,"['spici', 'vegan']",845.0,79
2020-05-01,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",595.0,63
2020-05-01,21.0,3004,icelandic flirt ,1.0,595,"['iceland', 'flirt']",595.0,36
2020-05-01,21.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-05-01,21.0,6019,lítil presley,1.0,895,"['lítil', 'presley']",895.0,70
2020-05-01,2.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-05-01,2.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-05-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-05-01,2.0,2066,kjöt,1.0,275,['kjöt'],275.0,47
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,2.0,2066,kjöt,1.0,275,['kjöt'],275.0,47
2020-05-01,2.0,2054,kaffi frappo lítil,1.0,990,"['kaffi', 'frappo', 'lítil']",990.0,44
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
